Specialty,Specialty_Group
Anaesthetics,Respiratory
Breast Surgery,Other
Cardiology,Heart
Cardio-Thoracic Surgery,Heart
Chemical Pathology,Other
Child/Adolescent Psychiatry,Psychiatry
Clinical (Medical) Genetics,Genes
Clinical Immunology,Immune System
Clinical Neurophysiology,Brain
Dental Surgery,Teeth
Dermatology,Skin
Developmental Paediatrics,Brain
Diabetes Mellitus,Hormonal
Endocrinology,Hormonal
Gastro-Enterology,Digestive
Gastro-Intestinal Surgery,Digestive
General Medicine,General
General Surgery,General
Geriatric Medicine,General
Gynaecology,Reproductive System
Haematology,Blood
Hepato-Biliary Surgery,Digestive
Immunology,Immune System
Infectious Diseases,Respiratory
Maxillo-Facial,Dental
Metabolic Medicine,Blood
Neonatology,Infant
Nephrology,Kidney
Neurology,Brain
Neurosurgery,Brain
Oncology,Cancer
Ophthalmology,Eyes
Orthopaedics,Bones
Other,Other
Otolaryngology (ENT),ENT
Paed Cardiology,Heart
Paed Endocrinology,Hormonal
Paed Gastro-Enterol,Digestive
Paed Haematology,Blood
Paed Metabolic Medicine,Blood
Paed Nephrology,Kidney
Paed Oncology,Cancer
Paed Orthopaedic,Bones
Pain Relief,Other
Plastic Surgery,Skin
Radiology,Other
Respiratory Medicine,Respiratory
Rheumatology,Bones
Small Volume Specialities,Other
Small Volume Specialties,Other
Urology,Kidney
Vascular Surgery,Heart
